USER,TS ,X,Y
9999,10:41:40,40,29
9995,10:59:11,19,41
9989,10:53:36,69,83
9993,11:34:35,16,14
9990,10:30:39,97,54
9994,10:48:37,33,73
9989,10:49:26,88,80
9989,11:38:11,92,53
9992,11:31:31,95,61
9990,11:57:13,61,35
9992,10:45:21,82,93
9989,11:54:40,98,26
9989,11:32:52,83,41
9995,11:56:16,23,80
9994,11:42:48,20,50
9995,10:37:19,84,70
9996,10:38:43,31,65
9994,11:52:11,53,32
9998,11:38:54,37,93
9995,11:43:34,19,99
9989,10:58:34,25,52
9993,11:32:15,63,95
9990,10:30:21,71,63
9995,11:58:45,10,1
9991,10:47:40,15,33
9989,11:35:33,6,44
9999,10:44:39,56,19
9996,11:47:15,84,22
9995,11:34:14,62,83
9999,10:31:29,75,14
9993,10:49:38,63,76
9993,10:37:50,82,19
9999,11:50:52,17,98
9996,10:50:42,73,86
9990,11:53:27,88,71
9990,11:36:13,14,43
9994,10:46:47,7,30
9998,10:55:22,91,81
9996,11:38:54,99,33
9994,10:38:35,55,64
9992,10:49:39,45,59
9991,10:54:15,38,84
9997,11:36:23,73,77
9995,11:43:51,56,67
9992,10:42:23,22,40
9998,11:38:53,80,38
9989,10:33:19,82,26
9999,11:43:21,82,42
9990,11:42:46,68,75
9998,11:42:52,27,72
9997,11:39:16,77,91
9996,10:44:18,84,30
9989,10:45:42,26,61
9994,11:37:14,81,93
9993,11:58:12,8,83
9989,10:48:15,76,10
9994,10:58:29,78,40
9989,10:41:37,97,21
9990,10:50:36,89,79
9998,10:39:48,90,91
9995,10:35:43,16,59
9999,11:55:14,64,34
9991,10:30:18,74,97
9994,10:51:22,15,94
9998,10:58:42,30,90
9997,11:35:40,46,73
9995,10:43:53,32,13
9990,11:52:10,48,58
9995,11:45:40,95,10
9996,11:52:33,89,80
9991,10:50:30,75,90
9990,11:42:34,56,72
9994,10:53:19,39,27
9996,11:33:36,65,80
9991,10:34:22,84,41
9989,11:44:27,50,69
9989,11:36:57,38,75
9994,11:32:58,65,48
9989,11:35:25,92,28
9999,11:41:41,71,54
9989,10:48:43,15,45
9999,10:44:25,88,98
9991,11:59:47,44,38
9993,11:47:55,52,23
9994,10:51:27,1,68
9998,11:57:29,94,100
9999,11:31:28,34,67
9996,11:56:25,56,76
9995,10:58:44,0,91
9997,10:32:48,2,62
9998,10:39:35,49,34
9993,10:31:23,88,39
9995,11:51:16,84,66
9995,10:31:46,66,18
9992,10:51:31,19,61
9993,11:57:53,19,88
9993,10:46:30,56,16
9989,11:58:40,40,79
9989,10:39:11,20,66
9998,11:43:57,52,69
9995,11:57:50,45,92
9993,11:33:12,1,51
9995,10:43:25,63,39
9995,11:58:54,21,48
9999,10:46:15,75,61
9989,10:39:49,10,58
9990,11:43:23,68,28
9992,10:48:37,80,65
9999,10:44:45,80,66
9991,10:33:50,7,3
9999,11:59:25,47,37
9990,11:39:54,51,85
9989,11:50:45,48,6
9994,10:53:21,78,38
9993,10:36:34,32,1
9995,11:31:18,13,26
9994,10:53:58,10,62
9992,10:30:19,75,37
9992,11:34:35,9,92
9999,10:45:45,79,63
9997,10:39:56,0,99
9995,10:59:47,10,54
9990,10:52:30,94,54
9999,11:53:18,21,34
9996,10:59:19,50,82
9990,11:35:22,87,15
9991,10:33:38,58,66
9998,10:55:47,71,55
9999,11:50:24,14,79
9997,10:32:34,58,66
9991,11:46:56,1,16
9992,11:36:26,1,18
9992,11:46:59,87,86
9990,10:46:10,63,35
9994,11:36:53,7,60
9998,10:56:47,91,64
9998,10:36:30,80,1
9992,11:58:15,95,31
9996,10:57:16,59,55
9994,11:37:44,65,49
9993,10:43:45,37,29
9993,10:52:26,25,66
9990,10:33:13,24,36
9997,11:53:47,48,50
9997,10:43:13,10,77
9994,10:32:39,69,20
9995,10:51:37,92,0
9996,11:37:36,44,86
9998,10:55:24,100,97
9992,11:46:34,98,83
9998,11:49:59,3,12
9989,10:54:12,5,96
9991,10:50:48,1,13
9990,10:44:12,73,94
9990,10:47:35,46,42
9999,11:52:16,9,79
9999,11:44:55,39,76
9994,10:51:19,34,24
9997,11:52:29,60,2
9995,11:44:17,22,19
9994,11:56:12,42,4
9989,10:44:11,61,4
9997,11:40:49,85,67
9996,11:58:15,35,96
9996,11:46:29,44,97
9996,11:42:34,8,31
9993,10:54:32,25,80
9991,10:54:16,1,94
9993,11:38:23,35,38
9993,11:56:40,90,43
9998,11:56:27,43,5
9997,11:30:38,90,29
9999,11:39:58,0,52
9998,10:36:57,32,18
9997,11:36:59,69,73
9991,11:39:24,33,24
9990,10:49:14,56,61
9997,10:34:51,8,1
9995,11:39:25,16,26
9997,10:43:23,31,23
9994,11:56:56,85,53
9992,11:57:54,60,36
9990,11:46:28,67,89
9997,11:57:29,90,92
9990,11:56:31,25,100
9993,10:32:52,20,62
9995,11:57:37,37,5
9992,10:46:34,34,4
9999,11:37:33,42,90
9996,10:44:46,56,20
9993,11:41:24,45,25
9992,11:58:25,28,10
9993,10:47:40,10,16
9998,10:37:24,37,20
9991,10:39:32,18,53
9996,11:30:17,81,33
9996,11:37:27,82,35
9995,10:53:44,35,3
9996,11:47:54,19,97
9991,11:56:58,42,75
9991,11:35:52,9,59
9996,11:49:12,89,12
9999,10:55:30,13,70
9998,10:46:56,100,21
9997,10:40:39,46,47
9994,11:52:16,37,63
9999,10:36:12,41,77
9989,10:39:53,69,39
9997,11:55:49,27,30
9997,11:56:24,88,8
9989,10:49:40,7,100
9996,10:49:49,74,21
9998,10:48:39,14,95
9994,10:38:20,98,63
9995,11:37:15,77,64
9997,10:36:11,91,62
9995,10:52:53,16,67
9992,11:30:47,15,22
9992,11:30:48,66,68
9989,11:36:41,12,73
9993,11:38:49,81,5
9998,11:37:21,97,1
9990,11:48:58,15,0
9991,10:53:39,27,49
9993,11:45:17,26,75
9993,11:37:26,9,53
9994,11:59:20,9,99
9993,11:34:54,34,25
9993,10:45:47,60,75
9993,11:38:41,79,22
9992,10:48:27,8,23
9996,10:59:46,52,100
9998,11:36:12,42,15
9994,10:50:51,56,62
9998,11:36:57,13,29
9993,10:59:48,7,65
9993,11:38:32,84,99
9990,10:58:16,74,58
9998,11:58:41,14,87
9992,11:45:49,33,32
9995,11:31:36,16,4
9997,10:45:46,13,90
9999,11:52:55,96,58
9994,10:41:57,53,80
9999,11:47:33,25,66
9994,10:30:15,2,12
9998,10:43:50,67,26
9996,10:57:29,16,48
9990,11:40:20,92,17
9999,11:52:25,77,0
9997,11:36:42,16,16
9996,11:51:18,77,25
9994,10:58:59,9,71
9998,11:31:16,51,68
9992,11:43:14,69,89
9997,11:40:11,15,18
9997,10:46:15,30,33
9995,10:41:22,87,33
9998,10:56:51,54,14
9991,11:52:50,13,10
9996,10:34:38,7,54
9997,10:31:47,3,44
9997,11:30:54,9,18
9992,10:46:11,33,85
9992,10:55:29,9,13
9996,11:51:41,26,12
9999,11:42:52,80,35
9995,10:33:10,45,2
9990,11:49:36,26,40
9996,11:33:55,42,22
9993,11:57:28,16,89
9992,11:57:31,80,97
9990,11:31:12,25,71
9995,11:32:56,26,68
9999,10:53:28,96,79
9994,11:35:24,8,65
9995,11:52:32,82,14
9993,11:30:21,20,54
9996,10:58:49,20,93
9994,11:44:54,10,70
9990,10:31:32,99,98
9994,11:46:56,89,100
9997,11:35:26,97,76
9994,11:47:43,61,27
9989,11:39:13,14,98
9997,11:55:19,52,52
9994,10:35:22,15,37
9993,11:49:58,20,83
9990,10:58:32,50,99
9997,10:36:36,78,18
9994,10:50:53,97,30
9991,10:43:19,68,40
9998,10:40:56,25,83
9998,10:39:10,7,14
9999,11:45:55,65,85
9997,10:43:14,77,92
9995,11:36:35,30,61
9994,10:50:26,78,91
9995,11:46:46,66,20
9991,10:52:18,9,43
9996,10:47:35,98,17
9996,11:44:48,74,87
9992,10:45:54,51,11
9996,11:43:24,86,11
9997,10:36:49,33,15
9993,10:47:24,77,67
9992,10:57:20,68,17
9997,10:52:43,93,87
9990,11:42:16,17,74
9999,11:51:55,72,24
9991,10:49:40,7,87
9989,11:30:52,9,21
9990,10:51:23,72,29
9992,11:45:13,77,100
9993,11:37:29,95,78
9998,10:52:17,33,33
9999,11:31:44,71,48
9999,11:35:25,61,14
9993,11:51:46,48,3
9996,10:45:45,95,42
9989,11:43:12,44,79
9993,11:35:34,96,40
9994,11:33:44,34,40
9994,10:46:27,2,32
9990,10:59:26,69,20
9991,10:43:10,73,19
9991,11:32:33,89,94
9989,10:32:40,98,18
9990,11:43:21,19,70
9994,10:58:33,60,68
9992,11:49:29,65,8
9994,11:33:36,58,6
9999,10:38:13,13,56
9989,11:30:27,93,85
9995,11:38:53,46,32
9994,11:56:52,41,85
9998,10:56:18,5,29
9994,11:51:57,74,90
9992,10:31:13,19,38
9997,10:59:42,51,86
9999,10:57:49,11,9
9996,10:30:44,25,41
9998,11:37:35,33,66
9991,10:32:34,46,5
9997,10:52:43,72,17
9998,11:44:51,58,38
9997,10:43:49,99,92
9995,10:51:21,97,62
9996,11:36:20,36,55
9995,10:52:51,15,56
9992,11:48:58,23,7
9990,10:57:15,95,92
9989,10:42:35,70,29
9992,10:54:49,96,5
9993,10:33:48,45,86
9994,11:56:31,90,9
9995,10:44:21,19,42
9996,11:30:55,31,42
9999,10:48:26,56,47
9998,10:54:57,93,11
9992,11:37:35,91,47
9997,10:53:47,94,31
9990,10:47:27,3,49
9990,10:58:19,17,41
9999,11:38:59,71,75
9999,11:30:52,5,32
9996,10:39:22,14,21
9993,10:57:41,86,18
9991,11:36:58,51,46
9994,11:55:10,96,46
9992,10:32:56,45,43
9989,11:31:17,14,16
9992,10:40:26,52,42
9996,11:35:28,66,71
9990,11:50:57,76,88
9991,10:50:55,15,95
9993,10:51:50,21,81
9989,11:50:21,85,67
9994,11:34:27,93,85
9998,11:43:41,7,26
9990,11:50:52,9,11
9992,10:39:53,28,71
9989,11:30:29,86,0
9995,11:33:37,71,40
9998,10:32:10,25,60
9998,11:54:59,100,22
9989,11:30:56,88,60
9993,10:33:43,97,77
9991,11:53:23,94,86
9991,11:33:14,12,71
9989,10:33:45,47,81
9993,10:31:22,33,34
9991,10:54:52,19,79
9994,11:44:40,32,54
9997,11:46:28,81,92
9989,11:40:49,25,42
9993,10:42:37,11,7
9997,11:43:57,95,25
9992,11:51:22,70,27
9990,10:54:10,8,20
9997,10:38:52,57,39
9994,11:47:22,32,2
9999,10:39:35,3,30
9995,10:52:47,81,98
9998,10:58:39,9,2
9996,11:57:51,9,62
9994,10:58:49,62,76
9990,11:45:24,65,88
9999,11:36:16,89,94
9989,10:55:15,19,36
9989,10:42:24,41,50
9996,10:39:28,97,27
9989,10:30:15,37,54
9992,11:44:59,2,37
9993,10:43:20,99,63
9990,11:38:18,48,39
9990,10:52:16,24,10
9991,10:58:20,71,96
9995,11:50:16,11,76
9992,11:32:12,12,57
9990,10:33:10,61,56
9997,11:40:39,40,22
9999,10:47:56,7,76
9998,10:40:27,39,13
9990,10:35:48,97,7
9993,11:57:58,71,65
9999,11:57:13,68,42
9999,11:31:41,65,81
9997,11:47:57,51,11
9996,11:59:47,82,13
9998,11:40:52,86,33
9993,10:37:42,75,63
9998,11:43:59,34,26
9995,11:35:39,64,98
9998,10:45:13,73,89
9997,11:37:38,82,66
9999,10:52:40,1,1
9991,11:55:52,73,8
9998,11:35:29,83,66
9992,10:46:59,28,8
9999,10:36:34,9,10
9995,11:31:53,78,46
9999,11:39:57,69,85
9989,11:43:20,27,0
9996,10:42:49,23,82
9995,10:41:10,87,29
9993,11:43:22,10,43
9999,11:36:24,41,83
9989,10:35:19,62,19
9997,10:51:17,63,48
9997,11:42:43,15,31
9992,10:32:38,22,48
9996,11:46:51,82,86
9998,11:37:43,7,57
9999,11:57:32,59,57
9999,11:45:58,82,85
9996,10:57:43,49,2
9996,10:37:44,6,77
9993,11:51:15,29,73
9998,10:51:55,64,7
9992,11:52:21,60,84
9999,11:59:30,95,59
9998,10:33:39,26,79
9991,11:59:31,19,27
9991,10:54:50,64,45
9997,11:49:45,4,46
9996,11:40:11,86,29
9994,10:46:11,48,10
9996,11:46:12,40,35
9991,11:51:43,41,43
9990,11:54:29,91,67
9992,10:52:27,69,52
9992,10:33:15,88,28
9995,11:39:15,17,70
9997,10:45:45,62,59
9989,10:45:41,69,28
9994,10:54:51,40,43
9993,11:43:19,2,35
9991,10:38:12,46,50
9994,11:41:11,92,68
9997,11:37:16,26,46
9995,10:59:23,59,25
9998,10:46:16,75,4
9995,11:32:35,2,80
9999,10:58:42,56,59
9996,11:38:43,58,9
9998,10:38:16,9,63
9997,10:40:33,87,59
9994,10:34:36,31,90
9992,11:57:16,32,85
9996,11:38:16,69,55
9989,10:43:35,40,41
9993,11:34:56,44,51
9995,11:45:57,93,64
9995,11:55:15,17,72
9999,11:32:51,3,62
9995,11:57:31,89,22
9990,11:34:53,55,2
9990,11:34:39,42,45
9994,11:33:31,16,18
9999,10:38:52,54,89
9995,11:38:18,80,22
9996,10:48:28,52,99
9993,11:52:19,65,19
9993,11:45:13,53,25
9997,10:43:27,52,30
9991,11:52:59,5,37
9996,11:50:33,43,84
9990,10:50:51,95,49
9996,11:41:59,94,36
9989,11:50:12,30,52
9989,10:49:36,97,86
9989,10:44:39,82,10
9999,10:33:18,6,79
9989,10:47:21,0,48
9993,10:43:57,34,12
9994,10:51:54,91,77
9991,10:55:26,31,79
9993,10:50:33,23,65
9995,10:47:11,27,44
9998,11:35:40,55,3
9993,10:57:32,97,22
9999,11:55:31,93,59
9999,11:33:47,31,66
9996,11:30:16,23,65
9998,10:44:59,25,73
9991,10:34:52,68,75
9997,11:56:20,36,56
9998,10:58:32,46,60
9992,10:51:24,28,43
9991,10:31:38,87,26
9998,10:47:14,91,1
9993,10:30:58,100,75
9993,11:53:32,64,41
9996,10:50:40,88,69
9995,10:44:57,95,42
9999,11:46:36,61,75
9998,11:56:58,37,40
9997,11:47:36,26,28
